                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6135,                0.51934,                      1,                  1.549,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.3086,                0.56906,                      1,                 1.4072,             0.00039892,             0.00039892,             0.00039892
                      3,                 1.0355,                0.70166,                      1,                 1.2872,             0.00058972,             0.00058972,             0.00058972
                      4,                0.76573,                0.74033,                      1,                 1.2102,             0.00067159,             0.00067159,             0.00067159
                      5,                0.66968,                0.76796,                      1,                 1.1883,             0.00067159,             0.00067159,             0.00067159
                      6,                0.48308,                0.81768,                      1,                 1.1284,             0.00065745,             0.00065745,             0.00065745
                      7,                0.47923,                0.74033,                      1,                 1.1794,             0.00064331,             0.00064331,             0.00064331
                      8,                0.40649,                0.81215,                      1,                 1.1261,             0.00062918,             0.00062918,             0.00062918
                      9,                0.38463,                0.81215,                      1,                 1.1088,             0.00061504,             0.00061504,             0.00061504
                     10,                0.36057,                0.86188,                      1,                 1.0804,              0.0006009,              0.0006009,              0.0006009
                     11,                0.32018,                0.82873,                      1,                  1.101,             0.00058677,             0.00058677,             0.00058677
                     12,                0.28183,                0.81768,                      1,                 1.1012,             0.00057263,             0.00057263,             0.00057263
                     13,                0.22974,                 0.8453,                      1,                 1.0643,             0.00055849,             0.00055849,             0.00055849
                     14,                0.20369,                0.85083,                      1,                 1.0686,             0.00054435,             0.00054435,             0.00054435
                     15,                0.21352,                 0.8232,                      1,                 1.0747,             0.00053022,             0.00053022,             0.00053022
                     16,                0.27209,                 0.8453,                      1,                 1.0828,             0.00051608,             0.00051608,             0.00051608
                     17,                0.20496,                0.85635,                      1,                 1.0578,             0.00050194,             0.00050194,             0.00050194
                     18,                0.21842,                0.85635,                      1,                 1.0681,              0.0004878,              0.0004878,              0.0004878
                     19,                0.19346,                 0.8453,                      1,                 1.0577,             0.00047367,             0.00047367,             0.00047367
                     20,                0.14026,                 0.8453,                      1,                 1.0631,             0.00045953,             0.00045953,             0.00045953
                     21,                0.16119,                0.83425,                      1,                 1.0674,             0.00044539,             0.00044539,             0.00044539
                     22,                0.17558,                0.83978,                      1,                 1.0748,             0.00043126,             0.00043126,             0.00043126
                     23,                0.14661,                0.86188,                      1,                 1.0535,             0.00041712,             0.00041712,             0.00041712
                     24,                0.13617,                0.85083,                      1,                  1.053,             0.00040298,             0.00040298,             0.00040298
                     25,                0.15162,                 0.8232,                      1,                 1.0795,             0.00038884,             0.00038884,             0.00038884
                     26,                0.16604,                 0.8232,                      1,                 1.0805,             0.00037471,             0.00037471,             0.00037471
                     27,                0.14686,                0.86188,                      1,                 1.0517,             0.00036057,             0.00036057,             0.00036057
                     28,                0.12318,                0.85635,                      1,                 1.0539,             0.00034643,             0.00034643,             0.00034643
                     29,                 0.1217,                0.83425,                      1,                 1.0652,              0.0003323,              0.0003323,              0.0003323
                     30,                0.12879,                0.83425,                      1,                 1.0592,             0.00031816,             0.00031816,             0.00031816
                     31,                0.13973,                0.85635,                      1,                 1.0554,             0.00030402,             0.00030402,             0.00030402
                     32,                0.08884,                 0.8453,                      1,                 1.0668,             0.00028988,             0.00028988,             0.00028988
                     33,                0.09593,                 0.8453,                      1,                 1.0596,             0.00027575,             0.00027575,             0.00027575
                     34,                0.08445,                0.83978,                      1,                 1.0647,             0.00026161,             0.00026161,             0.00026161
                     35,                0.08732,                0.85083,                      1,                 1.0608,             0.00024747,             0.00024747,             0.00024747
                     36,                0.08562,                 0.8453,                      1,                 1.0473,             0.00023334,             0.00023334,             0.00023334
                     37,                0.10865,                0.85083,                      1,                 1.0466,              0.0002192,              0.0002192,              0.0002192
                     38,                0.09023,                 0.8674,                      1,                 1.0304,             0.00020506,             0.00020506,             0.00020506
                     39,                0.12749,                 0.8674,                      1,                 1.0352,             0.00019092,             0.00019092,             0.00019092
                     40,                0.06553,                0.86188,                      1,                 1.0405,             0.00017679,             0.00017679,             0.00017679
                     41,                 0.0676,                0.85083,                      1,                 1.0479,             0.00016265,             0.00016265,             0.00016265
                     42,                0.09253,                0.85083,                      1,                 1.0499,             0.00014851,             0.00014851,             0.00014851
                     43,                0.07389,                0.85635,                      1,                 1.0448,             0.00013437,             0.00013437,             0.00013437
                     44,                0.09598,                0.85083,                      1,                 1.0413,             0.00012024,             0.00012024,             0.00012024
                     45,                0.06961,                0.85083,                      1,                 1.0432,              0.0001061,              0.0001061,              0.0001061
                     46,                 0.0917,                0.85635,                      1,                 1.0429,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.06335,                0.85083,                      1,                 1.0414,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.09423,                0.85083,                      1,                 1.0411,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.07754,                0.85083,                      1,                 1.0473,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.07476,                0.86188,                      1,                 1.0455,             3.5414e-05,             3.5414e-05,             3.5414e-05
